"id","branch_id","class_id","teacher_id","co_teacher_id","date","actual_start_datetime","actual_end_datetime","status","created_at","updated_at","lesson_id","display_name"
"89570","9","380",\N,\N,"2024-11-09",\N,\N,"PENDING","2024-03-01 00:00:31","2024-07-07 18:58:42","225","Investigate"
"88149","9","631",\N,\N,"2024-11-09",\N,\N,"PENDING","2024-02-01 00:00:45","2024-07-07 18:59:04","271","Lawyer in Court"
"90786","9","846",\N,\N,"2024-11-07",\N,\N,"PENDING","2024-03-01 00:01:11","2024-07-07 18:59:10","273","Create Creative Content & Engage Audience"
"89646","9","433",\N,\N,"2024-11-07",\N,\N,"PENDING","2024-03-01 00:00:33","2024-07-07 18:58:54","177","Cultivating"
"89554","9","375",\N,\N,"2024-11-07",\N,\N,"PENDING","2024-03-01 00:00:30","2024-07-07 18:58:33","225","Investigate"
"88233","9","657",\N,\N,"2024-11-07",\N,\N,"PENDING","2024-02-01 00:00:47","2024-07-07 18:59:06","175","Healthy"
"90674","9","810",\N,\N,"2024-11-07",\N,\N,"PENDING","2024-03-01 00:01:08","2024-07-07 18:59:09","225","Investigate"
"87938","9","549",\N,\N,"2024-11-02",\N,\N,"PENDING","2024-02-01 00:00:39","2024-07-07 18:58:57","272","Recap"
"87526","9","384",\N,\N,"2024-11-02",\N,\N,"PENDING","2024-02-01 00:00:28","2024-07-07 18:58:51","224","Recap"
"88134","9","627",\N,\N,"2024-11-02",\N,\N,"PENDING","2024-02-01 00:00:44","2024-07-07 18:59:02","176","Recap"
"87522","9","383",\N,\N,"2024-11-02",\N,\N,"PENDING","2024-02-01 00:00:28","2024-07-07 18:58:48","176","Recap"
"88148","9","631",\N,\N,"2024-11-02",\N,\N,"PENDING","2024-02-01 00:00:45","2024-07-07 18:59:04","270","Evidences & Persuasive "
"88363","9","713",\N,\N,"2024-11-02",\N,\N,"PENDING","2024-02-01 00:00:50","2024-07-07 18:59:07","229","Character"
"88412","9","727",\N,\N,"2024-11-02",\N,\N,"PENDING","2024-02-01 00:00:51","2024-07-07 18:59:08","270","Evidences & Persuasive "
"87958","9","558",\N,\N,"2024-11-02",\N,\N,"PENDING","2024-02-01 00:00:40","2024-07-07 18:59:00","176","Recap"
"87518","9","382",\N,\N,"2024-11-02",\N,\N,"PENDING","2024-02-01 00:00:28","2024-07-07 18:58:46","224","Recap"
"87494","9","372",\N,\N,"2024-11-02",\N,\N,"PENDING","2024-02-01 00:00:27","2024-07-07 18:58:29","176","Recap"
"87502","9","376",\N,\N,"2024-11-02",\N,\N,"PENDING","2024-02-01 00:00:27","2024-07-07 18:58:37","176","Recap"
"87506","9","377",\N,\N,"2024-11-02",\N,\N,"PENDING","2024-02-01 00:00:27","2024-07-07 18:58:39","224","Recap"
"87510","9","380",\N,\N,"2024-11-02",\N,\N,"PENDING","2024-02-01 00:00:27","2024-07-07 18:58:42","224","Recap"
"87514","9","381",\N,\N,"2024-11-02",\N,\N,"PENDING","2024-02-01 00:00:28","2024-07-07 18:58:44","176","Recap"
"88654","9","810",\N,\N,"2024-10-31",\N,\N,"PENDING","2024-02-01 00:00:57","2024-07-07 18:59:09","224","Recap"
"88806","9","846",\N,\N,"2024-10-31",\N,\N,"PENDING","2024-02-01 00:01:00","2024-07-07 18:59:10","272","Recap"
"87582","9","433",\N,\N,"2024-10-31",\N,\N,"PENDING","2024-02-01 00:00:29","2024-07-07 18:58:54","176","Recap"
"88232","9","657",\N,\N,"2024-10-31",\N,\N,"PENDING","2024-02-01 00:00:47","2024-07-07 18:59:06","174","Synergy"
"87498","9","375",\N,\N,"2024-10-31",\N,\N,"PENDING","2024-02-01 00:00:27","2024-07-07 18:58:33","224","Recap"
"87509","9","380",\N,\N,"2024-10-26",\N,\N,"PENDING","2024-02-01 00:00:27","2024-07-07 18:58:42","223","Explaining Artwork"
"87525","9","384",\N,\N,"2024-10-26",\N,\N,"PENDING","2024-02-01 00:00:28","2024-07-07 18:58:51","223","Explaining Artwork"
"87517","9","382",\N,\N,"2024-10-26",\N,\N,"PENDING","2024-02-01 00:00:28","2024-07-07 18:58:46","223","Explaining Artwork"
"87501","9","376",\N,\N,"2024-10-26",\N,\N,"PENDING","2024-02-01 00:00:27","2024-07-07 18:58:37","175","Healthy"
"87505","9","377",\N,\N,"2024-10-26",\N,\N,"PENDING","2024-02-01 00:00:27","2024-07-07 18:58:39","223","Explaining Artwork"
"87513","9","381",\N,\N,"2024-10-26",\N,\N,"PENDING","2024-02-01 00:00:28","2024-07-07 18:58:44","175","Healthy"
"88133","9","627",\N,\N,"2024-10-26",\N,\N,"PENDING","2024-02-01 00:00:44","2024-07-07 18:59:02","175","Healthy"
"88147","9","631",\N,\N,"2024-10-26",\N,\N,"PENDING","2024-02-01 00:00:45","2024-07-07 18:59:04","269","Research & Reason "
"87521","9","383",\N,\N,"2024-10-26",\N,\N,"PENDING","2024-02-01 00:00:28","2024-07-07 18:58:48","175","Healthy"
"87937","9","549",\N,\N,"2024-10-26",\N,\N,"PENDING","2024-02-01 00:00:39","2024-07-07 18:58:57","271","Lawyer in Court"
"87493","9","372",\N,\N,"2024-10-26",\N,\N,"PENDING","2024-02-01 00:00:27","2024-07-07 18:58:29","175","Healthy"
"86324","9","713",\N,\N,"2024-10-26",\N,\N,"PENDING","2024-01-01 00:00:23","2024-07-07 18:59:07","228","Recap"
"87957","9","558",\N,\N,"2024-10-26",\N,\N,"PENDING","2024-02-01 00:00:40","2024-07-07 18:59:00","175","Healthy"
"88411","9","727",\N,\N,"2024-10-26",\N,\N,"PENDING","2024-02-01 00:00:51","2024-07-07 18:59:08","269","Research & Reason "
"88231","9","657",\N,\N,"2024-10-24",\N,\N,"PENDING","2024-02-01 00:00:47","2024-07-07 18:59:06","173","Bravery"
"88653","9","810",\N,\N,"2024-10-24",\N,\N,"PENDING","2024-02-01 00:00:57","2024-07-07 18:59:09","223","Explaining Artwork"
"87497","9","375",\N,\N,"2024-10-24",\N,\N,"PENDING","2024-02-01 00:00:27","2024-07-07 18:58:33","223","Explaining Artwork"
"88805","9","846",\N,\N,"2024-10-24",\N,\N,"PENDING","2024-02-01 00:01:00","2024-07-07 18:59:10","271","Lawyer in Court"
"87581","9","433",\N,\N,"2024-10-24",\N,\N,"PENDING","2024-02-01 00:00:29","2024-07-07 18:58:54","175","Healthy"
"87524","9","384",\N,\N,"2024-10-19",\N,\N,"PENDING","2024-02-01 00:00:28","2024-07-07 18:58:51","222","Colour Sensation"
"87956","9","558",\N,\N,"2024-10-19",\N,\N,"PENDING","2024-02-01 00:00:40","2024-07-07 18:59:00","174","Synergy"
"87512","9","381",\N,\N,"2024-10-19",\N,\N,"PENDING","2024-02-01 00:00:28","2024-07-07 18:58:44","174","Synergy"
"87516","9","382",\N,\N,"2024-10-19",\N,\N,"PENDING","2024-02-01 00:00:28","2024-07-07 18:58:46","222","Colour Sensation"
"87500","9","376",\N,\N,"2024-10-19",\N,\N,"PENDING","2024-02-01 00:00:27","2024-07-07 18:58:37","174","Synergy"
"87492","9","372",\N,\N,"2024-10-19",\N,\N,"PENDING","2024-02-01 00:00:27","2024-07-07 18:58:29","174","Synergy"
"86344","9","727",\N,\N,"2024-10-19",\N,\N,"PENDING","2024-01-01 00:00:23","2024-07-07 18:59:08","268","Recap "
"87520","9","383",\N,\N,"2024-10-19",\N,\N,"PENDING","2024-02-01 00:00:28","2024-07-07 18:58:48","174","Synergy"
"87508","9","380",\N,\N,"2024-10-19",\N,\N,"PENDING","2024-02-01 00:00:27","2024-07-07 18:58:42","222","Colour Sensation"
"86323","9","713",\N,\N,"2024-10-19",\N,\N,"PENDING","2024-01-01 00:00:23","2024-07-07 18:59:07","227","Desire Expression"
"86252","9","631",\N,\N,"2024-10-19",\N,\N,"PENDING","2024-01-01 00:00:20","2024-07-07 18:59:04","268","Recap "
"87504","9","377",\N,\N,"2024-10-19",\N,\N,"PENDING","2024-02-01 00:00:27","2024-07-07 18:58:39","222","Colour Sensation"
"87936","9","549",\N,\N,"2024-10-19",\N,\N,"PENDING","2024-02-01 00:00:39","2024-07-07 18:58:57","270","Evidences & Persuasive "
"88132","9","627",\N,\N,"2024-10-19",\N,\N,"PENDING","2024-02-01 00:00:44","2024-07-07 18:59:02","174","Synergy"
"86272","9","657",\N,\N,"2024-10-17",\N,\N,"PENDING","2024-01-01 00:00:21","2024-07-07 18:59:06","172","Recap"
"87496","9","375",\N,\N,"2024-10-17",\N,\N,"PENDING","2024-02-01 00:00:27","2024-07-07 18:58:33","222","Colour Sensation"
"88804","9","846",\N,\N,"2024-10-17",\N,\N,"PENDING","2024-02-01 00:01:00","2024-07-07 18:59:10","270","Evidences & Persuasive "
"88652","9","810",\N,\N,"2024-10-17",\N,\N,"PENDING","2024-02-01 00:00:57","2024-07-07 18:59:09","222","Colour Sensation"
"87580","9","433",\N,\N,"2024-10-17",\N,\N,"PENDING","2024-02-01 00:00:29","2024-07-07 18:58:54","174","Synergy"
"87955","9","558",\N,\N,"2024-10-12",\N,\N,"PENDING","2024-02-01 00:00:40","2024-07-07 18:59:00","173","Bravery"
"86343","9","727","110",\N,"2024-10-12","2024-10-12 13:35:16","2024-10-12 14:03:29","COMPLETED","2024-01-01 00:00:23","2024-10-12 14:03:29","267","Challenge Day Emcee Practice"
"87491","9","372","108",\N,"2024-10-12","2024-10-12 13:34:50","2024-10-12 14:05:08","COMPLETED","2024-02-01 00:00:27","2024-10-12 14:05:08","173","Bravery"
"87511","9","381","1235",\N,"2024-10-12","2024-10-12 13:35:45","2024-10-12 14:12:24","COMPLETED","2024-02-01 00:00:28","2024-10-12 14:12:24","173","Bravery"
