"user_id","branch_id","role_id"
"1515","14","7"
"759","11","6"
"759","2","7"
"2011","25","6"
"2011","17","7"
"662","2","6"
"662","4","7"
"1789","17","6"
"1789","17","7"
"1704","23","6"
"1704","7","7"
"583","6","6"
"583","7","7"
"2083","27","6"
"2083","9","7"
"2017","4","6"
"2017","23","7"
"418","4","6"
"418","4","7"
"2075","17","6"
"2075","24","7"
"484","3","6"
"484","3","7"
"496","2","6"
"496","2","7"
"1559","2","6"
"1559","7","7"
"1903","9","6"
"1903","14","7"
"1696","23","6"
"1696","16","7"
"223","9","6"
"223","5","7"
"1016","11","6"
"1016","4","7"
"980","13","6"
"980","3","7"
"629","2","6"
"629","4","7"
"1120","4","6"
"1120","3","7"
"677","2","6"
"677","6","7"
"1180","13","6"
"1180","7","7"
"401","3","6"
"382","6","6"
"382","3","7"
"997","7","6"
"997","7","7"
"2408","24","6"
"2408","8","7"
"435","5","6"
"1546","19","6"
"1546","2","7"
"2202","11","6"
"2202","20","7"
"289","2","6"
"289","8","7"
"654","2","6"
"823","5","4"
"823","9","7"
"459","4","6"
"459","5","7"
"1111","14","6"
"1111","9","7"
"2154","24","6"
"2154","13","7"
"1718","22","6"
"1718","9","7"
"1592","16","6"
"1592","9","7"
"1615","19","6"
"1615","9","7"
"1526","7","6"
"1145","9","6"
"1145","6","7"
"1058","2","6"
"1058","11","7"
"1266","3","6"
"1266","4","7"
"1371","4","6"
"1371","4","7"
"892","9","5"
"892","9","7"
"667","13","6"
"667","4","7"
"2323","22","5"
"2323","2","7"
"497","2","6"
"497","2","7"
"1836","23","6"
"1836","3","7"
"2062","16","6"
"2062","22","7"
"1387","7","6"
"1387","9","7"
"229","9","6"
"229","2","7"
"1943","3","6"
"1943","19","7"
"2282","29","6"
"2282","17","7"
"927","4","6"
"927","5","7"
"930","13","6"
"930","6","7"
"1570","3","6"
"1570","2","7"
"1891","25","6"
"1891","7","7"
"334","6","6"
"334","6","7"
"1869","7","6"
"2256","30","6"
"2256","19","7"
"419","4","6"
"2305","5","6"
"2305","4","7"
"456","4","6"
"1431","13","6"
"1431","3","7"
"508","4","6"
"508","4","7"
"2061","25","6"
"2061","22","7"
"549","2","6"
"549","2","7"
"1986","25","5"
"1986","17","7"
"1542","17","5"
"1542","3","7"
"1646","20","6"
"1646","5","7"
"332","6","6"
"1805","11","6"
"1805","6","7"
"1851","22","6"
"1851","18","7"
"1328","16","6"
"1328","11","7"
"778","6","6"
"778","7","7"
"1436","8","6"
"1436","7","7"
"2168","18","6"
"845","5","6"
"845","6","7"
"500","4","6"
"500","2","7"
"2348","25","6"
"2348","27","7"
"2184","1","6"
"2184","17","7"
"1547","19","6"
"1547","7","7"
"250","12","6"
"250","8","7"
"1997","6","6"
"1997","5","7"
"286","5","6"
"286","8","7"
"1743","22","6"
"1743","9","7"
"782","6","6"
"1161","4","6"
"1161","9","7"
"1151","14","6"
"1151","2","7"
"1648","9","6"
"1648","5","7"
"1433","14","6"
"1433","3","7"
"2013","4","6"
"2013","23","7"
"1361","9","6"
"1361","4","7"
"611","4","6"
"611","3","7"
"555","7","6"
"555","2","7"
"560","7","6"
"560","2","7"
"82","2","5"
"82","10","7"
"2388","32","6"
"2388","4","7"
"1021","3","6"
"1021","2","7"
"1055","7","6"
"2109","28","6"
"2109","7","7"
"1488","17","6"
"1488","7","7"
"1438","16","6"
"1438","7","7"
"1182","14","6"
"1182","7","7"
"1854","4","6"
"1854","19","7"
"1226","5","6"
"1226","7","7"
"2143","22","5"
"2143","5","7"
"1330","16","6"
"1330","3","7"
"1513","17","6"
"1513","14","7"
"1297","4","6"
"1297","4","7"
"1887","4","6"
"1887","3","7"
"1147","5","6"
"1147","6","7"
"847","4","6"
"847","6","7"
"1276","3","6"
"1276","7","7"
"1397","11","6"
"1397","3","7"
"180","10","6"
"180","9","7"
"1651","11","6"
"1651","4","7"
"762","4","6"
"762","2","7"
"2265","30","6"
"2265","11","7"
"2134","28","6"
"2134","11","7"
"110","9","5"
"110","3","7"
"225","9","6"
"225","5","7"
"1786","7","6"
"1786","6","7"
"2219","16","6"
"2219","7","7"
"909","3","6"
"909","9","7"
"1103","6","6"
"1103","5","7"
"1318","16","6"
"723","4","6"
"723","2","7"
"1897","11","6"
"1897","14","7"
"410","3","6"
"410","5","7"
"2360","32","5"
"2360","25","7"
"2361","32","6"
"670","7","6"
"2312","23","6"
"2312","22","7"
"625","6","6"
"88","6","5"
"88","10","7"
"1916","11","6"
"1916","21","7"
"1989","11","6"
"480","2","6"
"480","2","7"
"1756","20","6"
"1756","13","7"
"255","9","6"
"255","8","7"
"1476","17","6"
"1476","14","7"
"2363","20","6"
"2363","6","7"
"1130","14","5"
"1130","13","7"
"844","5","6"
"844","11","7"
"2069","11","6"
"2069","11","7"
"644","2","6"
"644","4","7"
"1510","14","6"
"1510","11","7"
"1641","21","6"
"1641","1","7"
"1419","11","6"
"1419","14","7"
"967","6","6"
"967","7","7"
"2346","16","6"
"2346","27","7"
"904","8","6"
"904","7","7"
"1027","2","6"
"1027","11","7"
"1744","22","6"
"1744","9","7"
"2329","31","6"
"2329","3","7"
"600","6","6"
"600","7","7"
"692","2","6"
"692","4","7"
"147","5","6"
"1096","6","6"
"1575","7","6"
"1575","9","7"
"1889","25","6"
"1889","19","7"
"2106","24","6"
"2106","9","7"
"440","5","6"
"2199","29","6"
"2199","9","7"
"1230","7","6"
"1230","3","7"
"1987","11","6"
"1987","9","7"
"2077","17","6"
"2077","20","7"
"363","6","6"
"363","3","7"
"551","7","6"
"551","2","7"
"314","8","6"
"314","6","7"
"79","2","5"
"543","2","6"
"543","2","7"
"569","7","6"
"1104","6","6"
"1104","5","7"
"168","6","6"
"168","9","7"
"1555","19","6"
"1555","11","7"
"686","2","6"
"686","5","7"
"1485","14","6"
"1485","6","7"
"2411","29","6"
"2411","2","7"
"374","6","6"
"345","6","6"
"345","6","7"
"1191","7","6"
"1191","11","7"
"1812","5","6"
"1812","17","7"
"594","6","6"
"594","7","7"
